sep=,
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names","label","web_product","web_category","show_as_chip"
"*","none","Hola! Soy LA TARIMA\n\nEn que puedo ayudar?\nSi buscas un producto especifico, solo dime y te ayudo ☺\n\n• Barandas de cama\n• Escaleras\n• Estantes\n• Vinotecas\n•Podios\n• Deck\n• Steps\n• Cajones\n\n📱 ¿Buscás algo personalizado? Escribinos acá: [wpp]\n\n📍 Hurlingham, Buenos Aires, Argentina.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","","","","","","","","","","","tarima_bienvenida","",,"0"
"*","productos","Mira, aquí esta lo que buscas: \n[Producto]\nSi necesitas algo mas, solo dímelo. O escribe ""Ayuda""","single","","","b","","","","","0","","","","","","","","seconds","0","0","tarima_bienvenida,precio,ayuda,Gracias","","","","","","","","","","","buscador1","","Barandas","0"
"*ayuda","similarity","• No encontraste tu producto? Escribe así: vinoteca, baranda, mesa, etc\n\n• Buscas algo personalizado? Envía un mensaje: [wpp]\n\n• De donde somos? [seccion:nosotros]\n\n• Estamos en Hurlingham[url=google.com/maps/place/Av.+Gdor.+Vergara+4099-4101,+B1686+Hurlingham,+Provincia+de+Buenos+Aires/@-34.5927811,-58.636518,137m/data=!3m1!1e3!4m6!3m5!1s0x95bcb937a44750e1:0xb76d1ef4d17d1534!8m2!3d-34.5927142!4d-58.6362905!16s%2Fg%2F11c66rzs2v?entry=ttu&g_ep=EgoyMDI2MDcwNy4wIKXMDSoASAFQAw%3D%3D|Hurlingham]\n\n• Queres revender nuestros productos, escribe ""mayorista""","single","","","b","","","","","0","","","","","","","","seconds","0","0","buscador2,buscador1,tarima_bienvenida,no_entendido","","","","","","","","","","","ayuda","","","0"
"*precio","similarity","El de cada producto se encuentra dentro de su propia publicación.\nSi no esta cargado, envia un mensajito: [wpp]\n\nSi quieres mas ayuda, dime que estas buscando y te lo paso, ejemplo: baranda, vinoteca, etc.\n\nPodes armar tu corrito, tocando el corazón en cada publicación... ♥","single","","","b","","","","","0","","","","","","","","seconds","0","0","buscador2,buscador1,tarima_bienvenida,no_entendido,ayuda,Gracias","","","","","","","","","","","precio","","","0"
"search_fallback","none","¡Sí! Encontré estos productos que coinciden en nuestra web:\n\n[producto]","single","","","b","","","0.8","","0","","","","","","","","seconds","0","0","","","","","","","","","","","","search_fallback","","","0"
"no_entendido","none","No logré comprender tu consulta.\nIntenta de nuevo, por ejemplo: Barandas, vinoteca, etc.\n\nO escribe ""Ayuda""","single","","","b","","","0.8","","0","","","","","","","","seconds","0","0","","","","","","","","","","","","no_entendido","","","0"
"*gracias","similarity","Noooo, gracias a vos!!!\nQue tengas una excelente compra!","single","","","b","","","","","0","","","","","","","","seconds","0","0","buscador2,buscador1,tarima_bienvenida,no_entendido,ayuda,precio","","","","","","","","","","","Gracias","","","0"
